[Trial 0] best val=3.1251e-03, params={'sequence_length': 822, 'hidden_size': 256, 'num_layers': 4, 'batch_size': 16, 'dropout': 0.5, 'weight_decay': 0.0}
[Trial 23] best val=7.4422e-04, params={'sequence_length': 570, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 24] best val=7.0562e-04, params={'sequence_length': 702, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 25] best val=7.2312e-04, params={'sequence_length': 816, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 128, 'dropout': 0.5, 'weight_decay': 0.0001}
[Trial 26] best val=6.6540e-04, params={'sequence_length': 936, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 16, 'dropout': 0.3, 'weight_decay': 0.0001}
[Trial 27] best val=1.6720e-03, params={'sequence_length': 666, 'hidden_size': 128, 'num_layers': 3, 'batch_size': 64, 'dropout': 0.1, 'weight_decay': 1e-05}
[Trial 28] best val=2.0134e-03, params={'sequence_length': 792, 'hidden_size': 32, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.4, 'weight_decay': 0.0}
[Trial 29] best val=3.2735e-03, params={'sequence_length': 462, 'hidden_size': 256, 'num_layers': 4, 'batch_size': 16, 'dropout': 0.5, 'weight_decay': 0.0}
[Trial 30] best val=1.0032e-03, params={'sequence_length': 312, 'hidden_size': 64, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.2, 'weight_decay': 0.0001}
[Trial 31] best val=7.2788e-04, params={'sequence_length': 942, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 16, 'dropout': 0.3, 'weight_decay': 0.0001}
[Trial 32] best val=7.8891e-04, params={'sequence_length': 1002, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 16, 'dropout': 0.3, 'weight_decay': 0.0001}
[Trial 33] best val=7.0701e-04, params={'sequence_length': 900, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 16, 'dropout': 0.3, 'weight_decay': 0.0001}
[Trial 34] best val=7.4356e-04, params={'sequence_length': 948, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 16, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 35] best val=9.5484e-04, params={'sequence_length': 822, 'hidden_size': 128, 'num_layers': 2, 'batch_size': 16, 'dropout': 0.3, 'weight_decay': 0.0001}
[Trial 36] best val=1.6445e-03, params={'sequence_length': 576, 'hidden_size': 32, 'num_layers': 3, 'batch_size': 16, 'dropout': 0.1, 'weight_decay': 1e-06}
[Trial 37] best val=4.8695e-04, params={'sequence_length': 702, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 38] best val=3.2659e-03, params={'sequence_length': 696, 'hidden_size': 256, 'num_layers': 4, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0}
[Trial 39] best val=1.6516e-03, params={'sequence_length': 612, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 1e-06}
[Trial 40] best val=6.7947e-04, params={'sequence_length': 762, 'hidden_size': 128, 'num_layers': 3, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 41] best val=5.9493e-04, params={'sequence_length': 870, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 42] best val=6.6950e-04, params={'sequence_length': 852, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 43] best val=5.7164e-04, params={'sequence_length': 786, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 44] best val=6.5776e-04, params={'sequence_length': 726, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 45] best val=6.4016e-04, params={'sequence_length': 780, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 46] best val=6.9800e-04, params={'sequence_length': 678, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 47] best val=9.0059e-04, params={'sequence_length': 522, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.0, 'weight_decay': 1e-05}
[Trial 48] best val=1.7720e-03, params={'sequence_length': 618, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 1e-06}
[Trial 49] best val=7.1758e-04, params={'sequence_length': 798, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 64, 'dropout': 0.2, 'weight_decay': 0.0001}
Regular study completed.
Min validation loss: 4.8695e-04
Best parameters: {'sequence_length': 702, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.0, 'weight_decay': 0.0001}
