[Trial 0] val_loss=0.002412, params={'sequence_length': 498, 'hidden_size': 128, 'num_layers': 4, 'batch_size': 16, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 27] val_loss=0.005050, params={'sequence_length': 576, 'hidden_size': 256, 'num_layers': 3, 'batch_size': 128, 'dropout': 0.2, 'weight_decay': 1e-06}
[Trial 28] val_loss=0.005172, params={'sequence_length': 822, 'hidden_size': 128, 'num_layers': 4, 'batch_size': 16, 'dropout': 0.3, 'weight_decay': 0.0}
[Trial 29] val_loss=0.002026, params={'sequence_length': 444, 'hidden_size': 128, 'num_layers': 4, 'batch_size': 16, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 30] val_loss=0.001060, params={'sequence_length': 732, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 31] val_loss=0.001193, params={'sequence_length': 738, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 32] val_loss=0.001242, params={'sequence_length': 930, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 33] val_loss=0.001214, params={'sequence_length': 840, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 34] val_loss=0.001362, params={'sequence_length': 612, 'hidden_size': 32, 'num_layers': 3, 'batch_size': 64, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 35] val_loss=0.002609, params={'sequence_length': 504, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 32, 'dropout': 0.5, 'weight_decay': 0.0}
[Trial 36] val_loss=0.000935, params={'sequence_length': 666, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 37] val_loss=0.002075, params={'sequence_length': 672, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.1, 'weight_decay': 1e-05}
[Trial 38] val_loss=0.003775, params={'sequence_length': 708, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.4, 'weight_decay': 1e-06}
[Trial 39] val_loss=0.001508, params={'sequence_length': 630, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.0, 'weight_decay': 0.0001}
[Trial 40] val_loss=0.001260, params={'sequence_length': 558, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.1, 'weight_decay': 0.0001}
[Trial 41] val_loss=0.002098, params={'sequence_length': 786, 'hidden_size': 256, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 42] val_loss=0.001751, params={'sequence_length': 948, 'hidden_size': 64, 'num_layers': 3, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 43] val_loss=0.001339, params={'sequence_length': 882, 'hidden_size': 256, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 44] val_loss=0.001592, params={'sequence_length': 834, 'hidden_size': 128, 'num_layers': 4, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 0.0001}
[Trial 45] val_loss=0.002445, params={'sequence_length': 750, 'hidden_size': 32, 'num_layers': 2, 'batch_size': 32, 'dropout': 0.3, 'weight_decay': 0.0001}
[Trial 46] val_loss=0.002570, params={'sequence_length': 318, 'hidden_size': 64, 'num_layers': 5, 'batch_size': 128, 'dropout': 0.4, 'weight_decay': 0.0}
[Trial 47] val_loss=0.001197, params={'sequence_length': 792, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 64, 'dropout': 0.5, 'weight_decay': 0.0001}
[Trial 48] val_loss=0.001526, params={'sequence_length': 660, 'hidden_size': 32, 'num_layers': 5, 'batch_size': 16, 'dropout': 0.2, 'weight_decay': 1e-05}
[Trial 49] val_loss=0.003584, params={'sequence_length': 960, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 64, 'dropout': 0.4, 'weight_decay': 1e-06}
Regular study completed.
Min validation loss: 0.000935
Best parameters: {'sequence_length': 666, 'hidden_size': 64, 'num_layers': 2, 'batch_size': 128, 'dropout': 0.4, 'weight_decay': 0.0001}
